run_id,strategy,case_id,vehicle_id,solver_status,collected_STD,collected_boundary,collected_region_A,collected_region_B,fraction_path_region_A,fraction_path_region_B,fraction_path_boundary_core,crossing_count,regions_visited,trajectory_length,mission_duration,sampled_cells
C01_representative__2auv_12h__multi_baseline_STD,multi_baseline_STD,C01_representative,1,REUSED_STEP11D,86.7200698852539,108.02639770507812,104.0,41.0,0.7172414064407349,0.2827586233615875,0.0,14,2,37.143,10.766666666666667,145
C01_representative__2auv_12h__multi_baseline_STD,multi_baseline_STD,C01_representative,2,REUSED_STEP11D,95.36753845214844,128.03033447265625,141.0,17.0,0.892405092716217,0.10759493708610535,0.025316456332802773,8,2,37.486,10.816666666666666,158
C01_representative__2auv_12h__multi_boundary_alpha050,multi_boundary_alpha050,C01_representative,1,REUSED_STEP11D,94.37675476074219,127.73448181152344,105.0,56.0,0.6521739363670349,0.3478260934352875,0.0,12,2,38.744,11.133333333333333,161
C01_representative__2auv_12h__multi_boundary_alpha050,multi_boundary_alpha050,C01_representative,2,REUSED_STEP11D,90.69459533691406,132.94654846191406,139.0,23.0,0.8580247163772583,0.1419753134250641,0.03703703731298447,2,2,38.975,11.2,162
C01_representative__2auv_12h__vehicle_specific_regime_maps,vehicle_specific_regime_maps,C01_representative,1,POST_SOLVER_PROXY,96.14266967773438,126.27000427246094,156.0,2.0,0.9873417615890503,0.012658228166401386,0.037974681705236435,4,2,37.214,10.8,158
C01_representative__2auv_12h__vehicle_specific_regime_maps,vehicle_specific_regime_maps,C01_representative,2,POST_SOLVER_PROXY,87.80000305175781,93.21925354003906,32.0,124.0,0.20512820780277252,0.7948718070983887,0.0,6,2,37.452,10.8,156
C01_representative__2auv_12h__vehicle_specific_with_crossing_proxy,vehicle_specific_with_crossing_proxy,C01_representative,1,POST_SOLVER_PROXY,88.82284545898438,125.28518676757812,146.0,3.0,0.9798657894134521,0.020134227350354195,0.04026845470070839,6,2,37.899,10.933333333333334,149
C01_representative__2auv_12h__vehicle_specific_with_crossing_proxy,vehicle_specific_with_crossing_proxy,C01_representative,2,POST_SOLVER_PROXY,85.55899047851562,100.72903442382812,37.0,117.0,0.24025973677635193,0.7597402334213257,0.0,10,2,38.941,11.25,154
C01_representative__2auv_12h__sequential_overlap_reduction,sequential_overlap_reduction,C01_representative,1,POST_SOLVER_PROXY,96.14266967773438,126.27000427246094,156.0,2.0,0.9873417615890503,0.012658228166401386,0.037974681705236435,4,2,37.214,10.8,158
C01_representative__2auv_12h__sequential_overlap_reduction,sequential_overlap_reduction,C01_representative,2,POST_SOLVER_PROXY,87.31613159179688,97.6146469116211,45.0,110.0,0.29032257199287415,0.7096773982048035,0.0,14,2,36.784,10.633333333333333,155
C01_representative__2auv_12h__post_solver_selected_pair,post_solver_selected_pair,C01_representative,1,POST_SOLVER_PROXY,87.80000305175781,93.21925354003906,32.0,124.0,0.20512820780277252,0.7948718070983887,0.0,6,2,37.452,10.8,156
C01_representative__2auv_12h__post_solver_selected_pair,post_solver_selected_pair,C01_representative,2,POST_SOLVER_PROXY,97.4887466430664,125.01278686523438,161.0,0.0,1.0,0.0,0.0,0,1,37.356,10.783333333333333,161
